Parameter,Type,Min,Max,Default,Example,Description
Risk_Lambda,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-lambda.json),The scale value for the biting risk when **Risk_Distribution** is set to WEIBULL_DISTRIBUTION.
Risk_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,[example](../json/campaign-bitingrisk-risk-log-normal-mu.json),The mean of the biting risk when **Risk_Distribution** is set to LOG_NORMAL_DISTRIBUTION.
Risk_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,[example](../json/campaign-bitingrisk-risk-log-normal-sigma.json),The width of the biting risk when **Risk_Distribution** is set to LOG_NORMAL_DISTRIBUTION.
Risk_Max,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-max.json),The maximum biting risk when **Risk_Distribution** is set to UNIFORM_DISTRIBUTION.
Risk_Mean_1,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-mean-1.json),The mean of the first exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Risk_Mean_2,float,1.17549E-38,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-mean-2.json),The mean of the second exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Risk_Min,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-min.json),The minimum biting risk when **Risk_Distribution** is set to UNIFORM_DISTRIBUTION.
Risk_Peak_2_Value,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-peak-2-value.json),The biting risk value to assign to the remaining individuals when **Risk_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Risk_Poisson_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-bitingrisk-risk-poisson-mean.json),The mean of the biting risk when **Risk_Distribution** is set to POISSON_DISTRIBUTION.
Risk_Proportion_0,float,0,1,-1,[example](../json/campaign-bitingrisk-risk-proportion-0.json),The proportion of individuals to assign a value of zero biting risk when **Risk_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Risk_Proportion_1,float,0,1,-1,[example](../json/campaign-bitingrisk-risk-proportion-1.json),The proportion of individuals in the first exponential distribution when **Risk_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
